1,30,0,10000
2,56,0,6800
3,14,0,2080
4,57,0,5500
5,51,0,2460
6,10,0,2200
7,55,0,10000
8,56,0,6800
9,44,0,10000
10,13,0,6800
11,52,0,2080
12,38,0,5500
13,26,0,2460
14,8,0,2200
15,21,0,10000
16,10,0,6800
17,52,0,10000
18,35,0,6800
19,28,0,2080
20,39,0,5500
21,32,0,2460
22,12,0,2200
23,33,0,10000
24,12,0,6800
25,46,0,10000
26,18,0,10000
27,38,0,6800
28,44,0,2080
29,24,0,5500
30,43,0,2460
31,24,0,2200
32,15,0,10000
33,39,0,6800
34,29,0,10000
35,16,0,6800
36,53,0,2080
37,59,0,5500
38,48,0,2460
39,51,0,2200
40,20,0,10000
41,33,0,6800
42,37,0,10000
43,40,0,6800
44,17,0,2080
45,39,0,5500
46,34,0,2460
47,55,0,2200
48,47,0,10000
49,13,0,6800
50,9,0,10000
51,30,0,10000
52,56,0,6800
53,14,0,2080
54,57,0,5500
55,51,0,2460
56,10,0,2200
57,55,0,10000
58,56,0,6800
59,44,0,10000
60,13,0,6800
61,52,0,2080
62,38,0,5500
63,26,0,2460
64,8,0,2200
65,21,0,10000
66,10,0,6800
67,52,0,10000
68,35,0,6800
69,28,0,2080
70,39,0,5500
71,32,0,2460
72,12,0,2200
73,33,0,10000
74,12,0,6800
75,46,0,10000
